FID,site_ref,site_name,local_authority,url,date_designated,remediated,date_remediated,sh_date_uploaded,la_s_code,sh_src,sh_src_id
pub_cntml.1,FM000620,BLACKDOG BEACH,Aberdeenshire,,,No,,2018-08-27,S12000034,b14bb98b-def2-4e10-ad79-f7e5ce8c9547,4
pub_cntml.2,FM000029,BLACKDOG FARM LANDFILL,Aberdeenshire,,,No,,2018-08-27,S12000034,b14bb98b-def2-4e10-ad79-f7e5ce8c9547,2
pub_cntml.3,MR000051,Huntly Gasworks,Aberdeenshire,,,No,,2018-08-27,S12000034,b14bb98b-def2-4e10-ad79-f7e5ce8c9547,1
pub_cntml.4,FM000056,Pelikan,Aberdeenshire,,,No,,2018-08-27,S12000034,b14bb98b-def2-4e10-ad79-f7e5ce8c9547,3
pub_cntml.5,,Aucheninnes Old Landfill,Dumfries and Galloway,,,Yes,,2019-08-21,S12000006,910d1b34-3aa1-4540-b7f8-32e7fddef777,7
pub_cntml.6,,"Former Tannery, Reid Terrace, Minnigaff, Newton Stewart",Dumfries and Galloway,,,Yes,,2019-08-21,S12000006,910d1b34-3aa1-4540-b7f8-32e7fddef777,9
pub_cntml.7,,"Gas Works, Fisher Street Car Park",Dumfries and Galloway,,,Yes,,2019-08-21,S12000006,910d1b34-3aa1-4540-b7f8-32e7fddef777,5
pub_cntml.8,,"Gas Works, Stranraer",Dumfries and Galloway,,,No,,2019-08-21,S12000006,910d1b34-3aa1-4540-b7f8-32e7fddef777,4
pub_cntml.9,,"Hoods Loaning, Dumfries",Dumfries and Galloway,,,Yes,,2019-08-21,S12000006,910d1b34-3aa1-4540-b7f8-32e7fddef777,8
pub_cntml.10,,Moffat Gas Works,Dumfries and Galloway,,,Yes,,2019-08-21,S12000006,910d1b34-3aa1-4540-b7f8-32e7fddef777,2
pub_cntml.11,,"Netherplace Gas Works, Lockerbie",Dumfries and Galloway,,,Yes,,2019-08-21,S12000006,910d1b34-3aa1-4540-b7f8-32e7fddef777,3
pub_cntml.12,,"Tip, Garrochar near Creetown",Dumfries and Galloway,,,Yes,,2019-08-21,S12000006,910d1b34-3aa1-4540-b7f8-32e7fddef777,6
pub_cntml.13,,Wigtown Gas Works,Dumfries and Galloway,,,Yes,,2019-08-21,S12000006,910d1b34-3aa1-4540-b7f8-32e7fddef777,1
pub_cntml.14,,"Former Gasworks Site, Joss Street, Invergordon",Highland,http://www.highland.gov.uk/info/1281/pollution/76/contaminated_land/4,2006-06-01,No,,2024-05-01,S12000017,7e220d8e-5660-4604-90fe-79ba9fe76893,1
pub_cntml.15,,"Former Gasworks Site, Shore Road, Tain",Highland,http://www.highland.gov.uk/info/1281/pollution/76/contaminated_land/4,2020-07-12,No,,2024-05-01,S12000017,7e220d8e-5660-4604-90fe-79ba9fe76893,2
pub_cntml.16,,"Former Deanshaugh Landfill, Deanshaugh Road, Elgin",Moray,,2007-01-08,No,,2016-09-12,S12000020,9e006d9f-1b71-455a-8aff-03db161b7ece,3
pub_cntml.17,,"Former Elgin City Sawmills Site, The Wards, Elgin",Moray,,2003-06-18,No,,2016-09-12,S12000020,9e006d9f-1b71-455a-8aff-03db161b7ece,2
pub_cntml.18,,"Former Lossie Green Gas Works, Lossie Wynd, Elgin",Moray,,2006-10-30,No,,2016-09-12,S12000020,9e006d9f-1b71-455a-8aff-03db161b7ece,1
pub_cntml.19,P2A Inv000011,11,North Lanarkshire,,2015-02-19,Yes,2016-10-01,2017-01-04,S12000050,de36c77b-f7ba-4176-afa8-e62fbe9e9ea6,1
pub_cntml.20,P2A Inv000012,12,North Lanarkshire,,2015-02-19,Yes,2016-10-01,2017-01-04,S12000050,de36c77b-f7ba-4176-afa8-e62fbe9e9ea6,2
pub_cntml.21,0,"No 5, Commercial Road, Hawick",Scottish Borders,https://www.scotborders.gov.uk/directory_record/7433/contaminated_land_inspection_strategy,2011-03-01,No,,2018-11-12,S12000026,5bafbc00-97bd-45c1-82d3-b174c415fa20,1
pub_cntml.22,0,"No 7, Commercial Road, Hawick",Scottish Borders,https://www.scotborders.gov.uk/directory_record/7433/contaminated_land_inspection_strategy,2011-03-01,No,,2018-11-12,S12000026,5bafbc00-97bd-45c1-82d3-b174c415fa20,2
pub_cntml.23,,,South Lanarkshire,,,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,2
pub_cntml.24,,,South Lanarkshire,,,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,4
pub_cntml.25,,,South Lanarkshire,,,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,1
pub_cntml.26,,,South Lanarkshire,,,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,3
pub_cntml.27,4 - SLC/CL/0004 - (Plot)31 Whitelees Road,(Plot) 31 Whitelees Road,South Lanarkshire,https://www.southlanarkshire.gov.uk/info/200193/pollution/435/contaminated_land/2,2011-10-05,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,8
pub_cntml.28,1 - SLC/CL/0001 - 25 Whitelees Road,25 Whitelees Road,South Lanarkshire,https://www.southlanarkshire.gov.uk/info/200193/pollution/435/contaminated_land/2,2011-10-05,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,5
pub_cntml.29,2 - SLC/CL/0002 - 27 Whitelees Road,27 Whitelees Road,South Lanarkshire,https://www.southlanarkshire.gov.uk/info/200193/pollution/435/contaminated_land/2,2011-10-05,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,6
pub_cntml.30,3 - SLC/CL/0003 - 29 Whitelees Road,29 Whitelees Road,South Lanarkshire,https://www.southlanarkshire.gov.uk/info/200193/pollution/435/contaminated_land/2,2011-10-05,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,7
pub_cntml.31,6 - SLC/CL/0006 - Lanark Golf Club,Lanark Golf Course,South Lanarkshire,https://www.southlanarkshire.gov.uk/info/200193/pollution/435/contaminated_land/2,2011-10-05,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,10
pub_cntml.32,5 - SLC/CL/0005 - Moor Park Homes,Moor Park Homes (Plot),South Lanarkshire,https://www.southlanarkshire.gov.uk/info/200193/pollution/435/contaminated_land/2,2011-10-05,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,9
pub_cntml.33,7 - SLC Common Good,SLC Common Good,South Lanarkshire,https://www.southlanarkshire.gov.uk/info/200193/pollution/435/contaminated_land/2,2011-10-05,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,12
pub_cntml.34,7 - SLC/CL/0007 - SLC Common Good,SLC Common Good,South Lanarkshire,https://www.southlanarkshire.gov.uk/info/200193/pollution/435/contaminated_land/2,2011-10-05,No,,2019-01-11,S12000029,a0783c88-7d5e-404c-8788-e42806c58d5e,11
pub_cntml.35,WDC/EPA/IIA/01/03,Former Carless Oil Refinery,West Dunbartonshire,,2003-07-07,No,,2018-08-24,S12000039,4598dfea-a11e-413f-96e5-98bcd099594f,3
pub_cntml.36,WDC/EPA/IIA/01/03,Former Carless Oil Refinery,West Dunbartonshire,,2003-07-07,No,,2018-08-24,S12000039,4598dfea-a11e-413f-96e5-98bcd099594f,1
pub_cntml.37,WDC/EPA/IIA/01/03,Former Carless Oil Refinery,West Dunbartonshire,,2003-07-07,No,,2018-08-24,S12000039,4598dfea-a11e-413f-96e5-98bcd099594f,2
pub_cntml.38,WDC/EPA/IIA/01/04,Kilbowie Road Site,West Dunbartonshire,,2007-07-13,No,,2018-08-24,S12000039,4598dfea-a11e-413f-96e5-98bcd099594f,4
